               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  55,            0.090171,            0.068932,           0.0017072,             0.35813,              0.2166,             0.24055,             0.11642,             0.10152,             0.19469,           0.0026961,           0.0044296,           0.0044296,           0.0044296
                  56,            0.090121,            0.068663,           0.0016953,             0.36481,              0.2129,             0.23956,             0.11627,             0.10152,             0.19513,           0.0027009,           0.0042756,           0.0042756,           0.0042756
                  57,            0.089921,            0.068367,           0.0016738,             0.33884,             0.21652,             0.23995,             0.11633,             0.10155,             0.19563,           0.0026835,           0.0041225,           0.0041225,           0.0041225
                  58,             0.08986,             0.06802,           0.0016529,             0.34089,             0.21416,             0.23846,             0.11571,             0.10174,             0.19746,           0.0027234,           0.0039702,           0.0039702,           0.0039702
                  59,            0.089541,            0.067726,           0.0016488,             0.36236,             0.21157,             0.23906,             0.11586,             0.10187,             0.19768,           0.0027319,            0.003819,            0.003819,            0.003819
                  60,            0.089636,            0.067479,           0.0016271,             0.36067,             0.20943,             0.23721,             0.11512,             0.10188,              0.1977,           0.0027404,            0.003669,            0.003669,            0.003669
                  61,            0.089347,            0.067231,           0.0016118,              0.3527,              0.2154,              0.2386,             0.11524,             0.10186,             0.19845,           0.0027266,           0.0035204,           0.0035204,           0.0035204
                  62,            0.089259,            0.066979,           0.0016058,             0.36623,             0.20995,             0.23882,             0.11538,             0.10203,             0.20047,           0.0027515,           0.0033732,           0.0033732,           0.0033732
                  63,            0.089162,            0.066752,             0.00158,             0.37611,             0.21226,             0.23814,             0.11504,             0.10209,              0.2005,           0.0027529,           0.0032278,           0.0032278,           0.0032278
                  64,            0.089107,            0.066525,           0.0015759,             0.37204,             0.21002,             0.23855,             0.11492,             0.10212,             0.20089,           0.0027756,           0.0030841,           0.0030841,           0.0030841
                  65,            0.088816,            0.066194,           0.0015396,             0.36497,             0.21061,             0.23782,             0.11453,             0.10217,             0.20097,           0.0027612,           0.0029424,           0.0029424,           0.0029424
                  66,            0.088841,            0.065979,            0.001539,             0.36343,             0.21034,             0.23874,             0.11411,             0.10227,             0.20224,           0.0027733,           0.0028027,           0.0028027,           0.0028027
                  67,            0.088587,            0.065711,           0.0015156,             0.36264,             0.20783,             0.23663,             0.11369,             0.10234,             0.20265,           0.0028147,           0.0026653,           0.0026653,           0.0026653
                  68,            0.088561,            0.065479,           0.0014995,             0.35856,             0.21363,             0.23544,             0.11305,             0.10247,             0.20357,           0.0028181,           0.0025302,           0.0025302,           0.0025302
                  69,            0.088373,             0.06528,           0.0014949,             0.36097,             0.20951,             0.23529,             0.11328,             0.10249,             0.20388,           0.0027809,           0.0023977,           0.0023977,           0.0023977
                  70,            0.088497,            0.065088,           0.0014947,             0.34098,             0.21903,             0.23592,             0.11337,             0.10252,             0.20455,           0.0027966,           0.0022677,           0.0022677,           0.0022677
                  71,            0.088258,            0.064825,           0.0014646,             0.35015,             0.21564,             0.23535,              0.1133,             0.10258,             0.20507,           0.0028175,           0.0021405,           0.0021405,           0.0021405
                  72,            0.088151,            0.064623,           0.0014464,             0.32315,              0.2217,             0.23523,              0.1126,             0.10261,             0.20559,           0.0028545,           0.0020161,           0.0020161,           0.0020161
                  73,            0.088119,            0.064449,           0.0014479,              0.3606,             0.20765,              0.2349,             0.11235,             0.10269,             0.20629,           0.0028486,           0.0018948,           0.0018948,           0.0018948
                  74,            0.087907,            0.064236,           0.0014314,             0.35429,             0.20806,             0.23526,             0.11247,             0.10272,             0.20684,           0.0028612,           0.0017765,           0.0017765,           0.0017765
                  75,            0.087781,            0.064013,           0.0014275,             0.34237,             0.21426,               0.235,             0.11256,             0.10276,             0.20744,           0.0028797,           0.0016615,           0.0016615,           0.0016615
                  76,             0.08783,            0.063793,           0.0014202,             0.34845,             0.21014,             0.23499,             0.11244,             0.10284,             0.20825,           0.0029035,           0.0015498,           0.0015498,           0.0015498
                  77,            0.087769,            0.063682,           0.0013906,              0.3474,             0.20942,             0.23491,             0.11243,             0.10293,             0.20874,           0.0029169,           0.0014416,           0.0014416,           0.0014416
                  78,            0.087467,            0.063464,           0.0013846,             0.33571,             0.21134,             0.23394,             0.11187,             0.10299,             0.20932,           0.0029309,            0.001337,            0.001337,            0.001337
                  79,            0.087398,            0.063243,           0.0013762,             0.34975,             0.20548,              0.2333,             0.11161,             0.10306,             0.20984,           0.0029331,            0.001236,            0.001236,            0.001236
                  80,            0.087448,            0.063144,           0.0013603,             0.34266,             0.20645,             0.23286,             0.11136,             0.10313,             0.21074,           0.0029496,           0.0011387,           0.0011387,           0.0011387
                  81,            0.087193,            0.062934,           0.0013555,             0.33626,             0.20965,             0.23227,             0.11079,             0.10319,             0.21089,           0.0029609,           0.0010454,           0.0010454,           0.0010454
                  82,            0.087236,            0.062835,           0.0013495,             0.33476,             0.21349,               0.233,             0.11103,             0.10322,             0.21145,           0.0029706,          0.00095595,          0.00095595,          0.00095595
                  83,            0.087153,            0.062669,           0.0013419,             0.33491,              0.2127,             0.23283,             0.11069,             0.10324,             0.21173,           0.0029606,          0.00087058,          0.00087058,          0.00087058
                  84,            0.087164,            0.062488,           0.0013259,             0.35155,             0.20647,             0.23233,             0.11054,              0.1033,             0.21215,           0.0029699,          0.00078933,          0.00078933,          0.00078933
                  85,            0.087066,            0.062366,           0.0013073,             0.34916,             0.20705,             0.23226,              0.1104,             0.10331,             0.21257,           0.0029905,          0.00071228,          0.00071228,          0.00071228
                  86,            0.086906,            0.062312,           0.0013103,             0.34461,              0.2077,              0.2316,             0.11039,             0.10335,             0.21285,           0.0029987,          0.00063952,          0.00063952,          0.00063952
                  87,            0.087026,            0.062186,           0.0013073,              0.3346,             0.20986,             0.23187,             0.11053,             0.10337,             0.21303,           0.0030099,          0.00057111,          0.00057111,          0.00057111
                  88,            0.086946,            0.062095,           0.0013109,             0.33613,             0.20877,              0.2316,             0.11021,             0.10342,             0.21333,           0.0030172,          0.00050711,          0.00050711,          0.00050711
                  89,            0.086929,            0.062028,            0.001298,             0.34232,             0.20841,              0.2313,             0.11001,             0.10346,             0.21373,           0.0030324,          0.00044761,          0.00044761,          0.00044761
                  90,            0.086913,            0.061854,           0.0013058,             0.34615,              0.2063,             0.23121,             0.10994,             0.10352,             0.21409,           0.0030337,          0.00039264,          0.00039264,          0.00039264
                  91,            0.086811,            0.061798,            0.001281,             0.35098,              0.2048,             0.23074,             0.10971,             0.10356,             0.21441,           0.0030433,          0.00034227,          0.00034227,          0.00034227
                  92,            0.086764,            0.061753,           0.0012783,             0.35255,             0.20456,             0.23079,             0.10978,             0.10358,              0.2146,           0.0030433,          0.00029655,          0.00029655,          0.00029655
                  93,            0.086707,            0.061638,           0.0012818,             0.35524,             0.20352,             0.23077,              0.1097,             0.10361,             0.21482,           0.0030418,          0.00025551,          0.00025551,          0.00025551
                  94,            0.086682,            0.061655,           0.0012847,             0.35057,             0.20426,             0.23063,              0.1097,             0.10364,             0.21513,           0.0030445,          0.00021921,          0.00021921,          0.00021921
                  95,            0.086763,            0.061616,           0.0012882,             0.34728,             0.20523,             0.23046,             0.10966,             0.10365,             0.21517,           0.0030472,          0.00018768,          0.00018768,          0.00018768
                  96,            0.086717,            0.061582,           0.0012812,             0.34804,              0.2048,             0.23026,              0.1095,             0.10366,             0.21531,           0.0030564,          0.00016094,          0.00016094,          0.00016094
                  97,            0.086646,            0.061516,           0.0012756,             0.34599,              0.2053,             0.23023,             0.10944,             0.10367,             0.21543,           0.0030574,          0.00013903,          0.00013903,          0.00013903
                  98,            0.086752,            0.061504,           0.0012859,             0.34517,             0.20647,             0.23019,             0.10941,             0.10369,             0.21557,            0.003058,          0.00012197,          0.00012197,          0.00012197
                  99,            0.086644,            0.061479,           0.0012652,             0.34447,               0.206,             0.23034,              0.1095,             0.10369,             0.21564,           0.0030614,          0.00010977,          0.00010977,          0.00010977
