               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,             0.09234,            0.088858,            0.019219,             0.25596,             0.20486,             0.16161,            0.075669,             0.10628,             0.27451,            0.047209,           0.0027639,           0.0027639,           0.0027639
                  82,            0.092227,            0.089134,            0.019225,               0.256,             0.20623,             0.16134,            0.075613,              0.1063,             0.27443,            0.047411,           0.0026917,           0.0026917,           0.0026917
                  83,            0.092135,             0.08841,               0.019,               0.251,             0.20889,             0.16184,            0.075605,             0.10634,              0.2748,            0.047551,           0.0026227,           0.0026227,           0.0026227
                  84,            0.092097,             0.08823,            0.018969,             0.25532,             0.20729,             0.16153,            0.075523,             0.10639,             0.27551,            0.047667,            0.002557,            0.002557,            0.002557
                  85,            0.091941,            0.087758,            0.018813,             0.25954,             0.20436,             0.16092,            0.075204,             0.10644,             0.27648,            0.047868,           0.0024948,           0.0024948,           0.0024948
                  86,            0.091972,            0.087614,            0.018722,             0.25478,             0.20289,             0.16065,            0.074945,             0.10651,             0.27753,              0.0481,            0.002436,            0.002436,            0.002436
                  87,            0.091917,            0.087733,            0.018698,             0.25526,             0.20181,             0.15996,            0.074465,             0.10655,             0.27803,            0.048362,           0.0023807,           0.0023807,           0.0023807
                  88,            0.091689,            0.087395,             0.01866,             0.25342,             0.20186,             0.15922,            0.074198,             0.10662,             0.27875,            0.048592,            0.002329,            0.002329,            0.002329
                  89,            0.091777,            0.087152,            0.018574,             0.25846,              0.2003,              0.1592,            0.074079,             0.10668,              0.2795,             0.04877,           0.0022809,           0.0022809,           0.0022809
                  90,            0.091828,            0.087278,            0.018403,             0.25836,             0.20009,             0.15828,            0.073868,              0.1067,             0.27999,            0.048996,           0.0022365,           0.0022365,           0.0022365
                  91,            0.091799,            0.086848,            0.018398,             0.25718,             0.20007,             0.15753,            0.073527,             0.10676,             0.28062,            0.049199,           0.0021958,           0.0021958,           0.0021958
                  92,            0.091642,            0.087561,            0.018337,             0.25945,             0.20086,             0.15774,            0.073617,              0.1068,             0.28093,            0.049361,           0.0021588,           0.0021588,           0.0021588
                  93,            0.091718,            0.087258,             0.01833,              0.2583,             0.19945,             0.15736,            0.073421,             0.10685,             0.28155,            0.049452,           0.0021257,           0.0021257,           0.0021257
                  94,            0.091716,            0.086525,            0.018297,             0.25635,             0.20026,             0.15697,            0.073055,             0.10688,             0.28205,            0.049554,           0.0020963,           0.0020963,           0.0020963
                  95,            0.091516,            0.086728,            0.018181,             0.25526,             0.19999,             0.15659,            0.072882,             0.10692,             0.28266,            0.049694,           0.0020709,           0.0020709,           0.0020709
                  96,            0.091506,             0.08628,            0.018116,             0.25436,             0.19923,             0.15662,            0.072961,             0.10694,             0.28296,            0.049808,           0.0020492,           0.0020492,           0.0020492
                  97,            0.091274,            0.085785,            0.018032,             0.25207,             0.19954,              0.1567,            0.072871,             0.10695,             0.28353,             0.04993,           0.0020315,           0.0020315,           0.0020315
                  98,            0.091451,            0.086306,            0.018022,             0.24693,              0.1997,             0.15652,            0.072868,             0.10698,             0.28389,            0.050022,           0.0020178,           0.0020178,           0.0020178
                  99,            0.091433,            0.086156,            0.018063,             0.24487,             0.19985,             0.15621,            0.072757,             0.10701,              0.2844,            0.050206,           0.0020079,           0.0020079,           0.0020079
